sl.no,Pick_Time,Actual_Quantity,number_of_items_container,total_quantity_of_items_in_container,volume_of_items_present_in_container,Total_Weight_of_items_present_in_container,Height_of_item,Length_of_item,Width_of_item,weight_of_each_item
927,10.016,1,6,6,531.53125,9.355,2.75,5,2.5,1.0125
928,13.903,1,2,2,120.25,1.8125,2,4.25,4.25,0.54
929,33.057,3,7,10,1056.625,10.835,9.5,4,4,3.4875
930,6.177,1,3,5,1072.4375,3.7525,2.25,4.25,4.25,0.62
931,13.954,4,6,10,657.768226,3.1937,2.5,3.75,3.75,0.375
932,29.353,1,1,1,180,3.25,2.5,3.75,3.75,0.375
933,5.497,1,12,14,1253.25,11.2669,1.25,8.25,5.5,0.4
934,10.67,1,5,5,813.71875,9.0375,1.25,5.75,3,0.5
935,4.943,1,7,7,880.796875,13.3125,5.25,10.25,0.25,0.5
936,6.09,1,5,10,662.015625,4.22,4,5,5,0.875
937,8.1,1,17,42,1901.826442,15.67,2.75,4.75,2.5,1.04
938,8.013,1,3,3,611.625,6.44,2.75,11.75,4,1.5
939,4.75,1,4,9,372.125,3.3134,2.75,11.75,4,1.5
940,4.66,1,12,13,1131.3125,17.4944,9.25,3,3,2.24
941,5.173,1,8,9,1330.46875,8.46,2.75,3.25,3.25,0.3312
942,4.77,1,2,2,288.266875,3.0625,5.5,5.5,1,0.75
943,13.294,3,9,14,1220,10.4075,2,4.75,4.75,0.5
944,9.213,1,5,10,938.5,1.7663,6.5,6.5,0.85,0.6438
945,24.58,1,9,12,1065.73125,11.2738,3,5,5,1.0625
946,15.97,1,18,20,1559.65875,18.3623,7,10.75,0.5,0.8
947,21.963,2,0,0,0,0,4.5,1.5,1.5,0.1062
948,18.774,2,1,3,390.234375,4.46,5.25,10.25,0.25,0.5
949,13.73,1,12,12,1488.96875,21.7687,2.75,11.75,4,1.5
950,13.103,1,0,0,0,0,6,7,10,3.5
951,12.867,1,6,10,652.500903,8.0187,9.5,4,4,4
952,38.863,10,1,2,1323.08,0.84,3,5,3,0.1719
953,40.94,2,3,9,763.8,4.805,1.6,4.5,4.5,0.55
954,10.647,2,14,18,1604.609375,13.6444,3,6,6,0.3125
955,13.136,1,5,7,699.841875,4.4425,2.75,5.25,2.5,1.04
956,12.43,1,2,3,244.96875,2.18,2,8,6.5,0.5625
957,25.7,1,8,10,900.3125,15.72,3,11.5,4.25,1.84
958,6.287,1,17,22,1074.859375,10.435,4,3,3,1
959,22.047,1,0,0,0,0,1,9,5,0.4375
960,7.767,1,10,18,1245.89575,8.755,3.5,8.87,7.25,0.3125
961,9.21,2,5,8,644.265625,4.99,2.75,11.75,4,1.5
962,18.733,2,6,14,470.581654,2.2499,2.5,3.75,3.75,0.375
963,10.53,1,5,5,450.6875,3.3937,2.5,4,4,0.3312
964,8.673,1,0,0,0,0,10.75,5.25,4,4
965,7.99,1,6,6,823.625,15.185,2,4.25,4.25,0.54
966,7.684,1,3,4,632.8625,9.5856,1,9.25,6,0.52
967,13.556,2,3,5,645.2961053,1.44,10.25,4.5,4.5,3
968,18.453,1,5,10,507.1875,4.2,1.25,6.5,2.25,0.375
969,10.264,2,2,3,762.9375,2.8125,1.5,5.25,4.5,0.78
970,12.757,2,6,8,767.859375,9.6031,3,11.5,4.25,1.84
971,7.957,1,0,0,0,0,4,5,5,0.875
972,8.93,1,1,1,63,0.6875,1.25,7.25,6,0.3125
973,4.16,1,5,10,299.84375,3.69,2.75,11.75,4,1.5
974,9.723,2,2,2,182.90625,1.0325,2.5,3.75,3.75,0.375
975,15.75,1,0,0,0,0,3,11.5,4.25,1.84
976,14.9,1,3,3,604.5,6.0206,9.5,4.25,4.25,4.46
977,23.66,7,4,5,422.09,6.4075,2.5,4,4,0.4
978,9.366,1,10,17,929.453125,10.96,1.5,5.25,4.5,0.78
979,12.18,1,4,5,804.9375,3.3175,1.75,6.25,1.75,0.64
980,7.954,1,1,2,72.25,0.3312,1.25,8.25,5.5,0.4
981,9.673,1,2,2,153.09375,1.875,7.25,8.25,2.5,0.125
982,5.89,1,0,0,0,0,9.5,4,4,3.4875
983,13.484,1,7,8,618.140625,13.2275,0.9,7.6,6.4,0.625
984,9.623,1,5,5,312.546875,2.4687,6.69,3.25,4.94,0.875
985,6.967,1,8,9,919.53125,9.18,10.5,6.75,0.5,0.76
986,15.477,1,7,9,1002.53125,6.1,1.25,8.25,5.5,0.4
987,11.693,1,7,8,1274.655275,13.055,5.65,2.247,2.247,0.5
988,7.857,2,0,0,0,0,3,11.5,4.25,1.84
989,6.04,1,1,1,17.875,0.75,2.25,5,5,0.625
990,35.96,1,6,7,883.555,8.67,9.45,6.3,0.5,0.4375
991,84.517,4,6,11,571.9375,7.9687,3.5,2.75,2.75,0.4062
992,8.967,1,0,0,0,0,0.25,7.5,9.75,0.1875
993,4.84,1,1,1,152,4.125,9.5,3.85,3.85,4.4938
994,6.257,1,10,11,1411.203125,12.9076,3,11.5,4.25,1.84
995,17.427,1,9,15,930.603125,10.1206,2,8,6.5,0.5625
996,13.333,1,5,5,333.984375,7.81,2.2,5.75,1.2,0.5
997,7.143,1,7,7,650.84375,3.8968,2.75,11.75,4,1.5
998,23.41,1,11,16,1337.985,17.0038,3,11.75,4.25,1.125
999,7.57,1,5,7,204,4.875,2.25,5,5,0.625
1000,8.3,1,8,10,991.189332,7.6324,9.5,4,4,3.4875
1001,9.57,1,10,15,1013.625,7.9126,2.5,5.75,5,0.2188
1002,7.523,1,5,6,590.265625,6.1375,1,9,5,0.4375
1003,8.5,1,3,4,367.34375,3.5427,3.9,3,3,0.1688
1004,14.334,3,3,4,791.75,6.41,2.5,3.75,3.75,0.375
1005,14.786,1,13,14,1384.65625,12.4856,1,9,5,0.4375
1006,10.417,1,0,0,0,0,2.5,3,3,0.3312
1007,5.43,1,3,3,304.90625,4.64,3,11.5,4.25,1.84
1008,17.553,1,8,11,2118.869396,15.3315,5.38,2,2,0.4375
1009,9.887,1,2,2,261.5625,1.48,1,8,6,0.3125
1010,7.387,1,7,9,860.75,9.0288,2,4.5,3.75,0.58
1011,15.477,1,4,6,339,3.845,4,3,3,1
1012,8.647,1,8,11,922.546875,8.5025,6,7,10,3.5
1013,36.203,10,4,5,498.8125,2.6637,2.5,4,4,0.4
1014,16.834,2,0,0,0,0,2.75,4.75,2.5,1.04
1015,13.667,1,2,2,555.5,4.25,1.25,8.25,5.5,0.4
1016,13.52,1,5,6,640.125,4.1313,1.5,5.25,4.5,0.78
1017,50.057,7,6,18,1470.96875,8.9088,4.25,5.5,3,1.62
1018,77.417,1,4,4,685.875,4.5938,2.5,3.5,3.5,0.5625
1019,30.007,1,2,3,185.328125,2.7425,3,4.25,4.25,1
1020,7.487,1,2,2,256,2.94,2.75,4.75,2.5,1.04
1021,13.23,2,2,5,162.296875,0.7687,2.5,3.5,3.5,0.3312
1022,11.18,2,3,10,642.015625,2.7,3.25,4.25,4.25,0.54
1023,47.774,1,5,6,554.178625,5.66,5.75,4.5,1.75,0.5
1024,6.41,1,1,1,189.65625,3,2,5.25,5.25,0.5
1025,13.114,1,10,11,1544.984678,29.125,7,5.25,3.5,0.875
1026,4.136,1,3,3,411.28125,4.1875,9.25,3,3,2.24
1027,6.717,1,4,5,648.96875,5.7275,2.75,4.75,2.5,1.04
1028,10.733,1,8,8,1063.419537,19.3396,1.5,6.5,6.5,0.5
1029,6.87,1,2,4,208.75,0.8,2,4.5,3.75,0.58
1030,10.384,1,10,10,931.7505,8.1368,7.5,9.5,0.5,0.25
1031,18.42,1,5,7,855.1875,4.645,3.5,8.87,7.25,0.3125
1032,20.696,2,7,11,820.71875,7.985,0.9,7.6,6.4,0.625
1033,8.496,1,3,3,677,11.7,2.25,10.5,6.5,1.1
1034,6.837,2,15,15,1498.79375,16.8688,2.75,3.25,3.25,0.3312
1035,5.69,1,5,18,882.25,2.8519,3,5,5,0.625
1036,5.886,1,13,22,2096.578125,11.9713,1.25,8.25,5.5,0.4
1037,13.11,1,7,11,1048.5,9.19,9.25,3,3,2.24
1038,11.957,2,10,17,1707.09375,14.745,5.25,10.25,0.25,0.5
1039,9.204,1,8,9,1367.615,7.04,3,11.5,4.25,1.84
1040,21.937,1,0,0,0,0,4.75,6,1.5,0.3125
1041,7.93,1,0,0,0,0,3.5,8.87,7.25,0.3125
1042,4.486,1,2,2,235.953125,6.54,2.75,11.75,4,1.5
1043,14.71,1,0,0,0,0,3,11.5,4.25,1.84
1044,5.894,1,6,6,464.121875,3.3837,3.5,2.75,2.75,0.4062
1045,19.063,1,1,1,57.859375,0.68,8,3.5,3.5,1.75
1046,7.777,1,2,2,560.9,3.6356,3,11.75,4.25,1.125
1047,14.676,4,0,0,0,0,3.5,2.75,2.75,0.2812
1048,8.313,1,1,2,67.5,0.625,2.25,3,3,0.2656
1049,14.027,2,5,5,430.859375,3.6575,2,7.25,2,0.5
1050,5.113,1,0,0,0,0,6,7,10,3.5
1051,6.484,1,3,3,303.31,2.81,4.75,5.56,3.75,1.5
1052,13.673,3,8,11,1565.1525,9.145,8.5,5.5,0.85,0.42
1053,12.66,1,5,8,700.025,4,3,11.75,4.25,1.125
1054,7.636,1,3,6,631.8125,3.0625,10.25,4.5,4.5,3
1055,9.283,1,0,0,0,0,2.25,4.25,4.25,0.62
1056,16.526,2,3,8,561.6875,2.26,9.45,6.3,0.5,0.4375
1057,9.956,1,0,0,0,0,0.9,7.6,6.4,0.625
1058,19.773,4,6,14,1383.96875,5.1769,10.5,6.75,0.5,0.76
1059,14.04,1,0,0,0,0,1,9.25,6,0.52
1060,23.367,5,15,23,1604.734375,12.7813,2.5,4,4,0.4
1061,13.584,1,14,16,1036.13375,14.7098,6.25,2.5,2.5,0.9
1062,37.037,3,9,14,971.5625,7.8388,2.75,5.25,2.5,1.04
1063,36.996,3,8,14,1720.75,10.1937,9.5,4,4,3.4875
1064,50.72,1,2,2,430.875,5.1781,2,4.5,3.75,1.02
1065,17.33,1,1,2,448,2,0.5,5.5,6.5,0.75
1066,14.724,1,11,13,693.65456,7.515,9.5,4,4,3.4875
1067,4.137,1,7,9,1085.774375,5.9262,7,5.25,3.5,0.875
1068,19.97,2,0,0,0,0,9.5,3.85,3.85,4.4938
1069,23.613,1,1,1,286,2,9.5,4,4,3.4875
1070,15.446,1,3,3,160.305,2.6188,7,10,1,1.1
1071,11.29,1,3,4,181.844666,3.3312,0.25,6.75,7.5,0.25
1072,47.71,3,0,0,0,0,3.75,1.5,1.5,0.125
1073,5.013,1,8,11,1288.375,7.42,3,11.5,4.25,1.84
1074,15.19,2,2,2,383.15625,2.44,3,11.5,4.25,1.84
1075,31.883,4,7,15,1134.8125,7.25,3.5,2.75,2.75,0.4062
1076,21.677,1,5,6,582.875,9.0125,2.5,3,3,0.3312
1077,7.344,1,5,7,995.707,8.3188,3,11.5,4.25,1.84
1078,12.683,2,0,0,0,0,8.5,5.5,0.85,0.42
1079,9.854,1,0,0,0,0,2.75,5,2.5,1.0125
1080,27.167,5,0,0,0,0,2.25,3.75,3.75,0.34
1081,7.837,1,3,4,591.703125,6.5,2,8.5,2,1.04
1082,10.82,3,4,4,386.71875,2.145,5,10.75,1,0.5
1083,9.177,1,1,1,59.765625,1.06,7,10.75,0.5,0.8
1084,11.923,2,0,0,0,0,5.5,2.75,2.75,1.2375
1085,10.89,2,5,5,424.3125,4.9534,7,2.2,2.2,0.625
1086,8.824,1,5,6,831.53125,10.87,5.75,4.5,1.75,0.5
1087,3.69,1,7,11,544.53125,5.3625,9.5,4,4,3.4875
1088,72.45,1,5,8,1167.8125,10.8,2.75,5.25,2.5,1.04
1089,18.42,2,0,0,0,0,1.25,5.75,3,0.5
1090,10.317,1,7,9,1258.6545,23,1.6,4.5,4.5,0.55
1091,10.45,1,0,0,0,0,9.5,4,4,3.4875
1092,10.373,2,0,0,0,0,2.5,4,4,0.44
1093,7.903,1,6,8,1771.21875,12.9575,6,7,10,3.5
1094,23.38,1,4,4,685.819,18.19,9.25,3,3,2.24
1095,7.61,1,14,17,1566.4375,11.6406,1.25,6.5,4.5,0.9375
1096,40.674,6,0,0,0,0,9.5,3.85,3.85,4.4938
1097,16.197,1,10,14,1309.875,11.12,2,8,6.5,0.5625
1098,10.857,1,6,7,872.75,9.46,2.5,3.25,3.25,0.3312
1099,5.9,1,3,3,262.9375,4.185,1,4.5,4.5,0.375
1100,14.863,1,5,6,689.34375,5.0187,2.5,4.75,4.75,0.875
1101,14.616,1,7,8,921.34375,6.5187,0.5,9,12,0.625
1102,18.507,1,9,11,1162.101563,7.7474,6.69,3.25,4.94,0.875
1103,7.257,3,4,8,939.975,7.94,9.25,3,3,2.24
1104,19.573,1,0,0,0,0,2.75,11.75,4,1.5
1105,12.654,3,4,4,426.28125,3.795,2.5,3.75,3.75,0.3312
1106,3.314,1,11,19,1302.953125,9.0612,2.75,6,4,0.75
1107,99.843,1,3,5,916.84375,7.985,2.36,3.43,3.43,0.4375
1108,13.28,1,1,1,20.25,0.2656,1.5,4.25,2.5,0.5
1109,17.194,2,5,6,533.077664,3.7325,3,11.75,4.25,1.125
1110,4.567,1,9,12,1498.6875,13.6725,9.25,3,3,2.24
1111,18.174,1,3,3,424,6.1875,10.5,6.75,0.5,0.76
1112,47.253,2,2,3,370,2.125,0.25,7.5,9.75,0.1875
1113,11.59,2,2,2,548.308275,10.015,4,5,5,0.875
1114,15.076,5,0,0,0,0,1.25,7.25,6,0.3125
1115,82.776,1,4,7,531.536452,6.8062,3.5,2.75,2.75,0.4062
1116,8.93,1,2,2,98.375016,2.58,3,5.25,5.25,1.06
1117,11.53,1,16,22,1726.87125,14.9586,2.5,4,4,0.4
1118,16.027,1,0,0,0,0,5.25,6.5,1.5,0.82
1119,6.613,1,10,15,1658.140625,8.4512,3,11.5,4.25,1.84
1120,5.234,1,5,5,451.53125,7.6687,3,11.5,4.25,1.84
1121,5.77,1,7,9,555.337271,4.8624,0.9,7.6,6.4,0.625
1122,6.983,1,10,17,1241.75,8.0713,6,3.25,3.25,1.16
1123,1.19,1,10,20,1187.90625,9.5,2.75,5,2.5,1.0125
1124,19.826,1,1,1,98.4375,1.625,1.75,6,4.75,1.32
1125,8.157,1,1,1,210,0.2812,6,7,10,3.5
1126,9.8,2,8,16,1665.09375,7.6712,6.5,6.5,0.85,0.6438
1127,12.136,1,5,7,860.2825,3.81,1,5.5,5.5,0.625
1128,5.633,1,5,5,1331.473452,4.8775,3,11.5,4.25,1.84
1129,2.777,1,3,4,517.5,7.475,2.75,5,2.5,1.0125
1130,20.39,1,0,0,0,0,2.5,7,1.5,0.24
1131,10.167,1,5,6,594.3125,5.875,2.5,7.8,8.1,0.25
1132,9.036,1,1,2,140,1.1,2.75,11.75,4,1.5
1133,14.167,2,6,6,977.546875,18.6675,3,11.75,4.25,1.125
1134,12.726,2,2,6,370.5,0.87,2.75,3.25,3.25,0.3312
1135,4.094,1,5,9,646.09375,4.2812,2,4.5,3.75,0.58
1136,6.283,1,6,8,1198.875,9.8425,2.75,5,2.5,1.0125
1137,8.67,1,1,1,21.65625,0.54,2.25,3.75,3.75,0.375
1138,22.71,1,2,2,260.15625,8.92,9.25,3,3,2.24
1139,11.687,1,8,12,723.9375,4.79,1.75,8.5,4.75,0.6
1140,12.196,1,6,6,608.984375,3.615,1.25,8.25,5.5,0.4
1141,6.693,1,7,11,1132.586736,8.4912,1.5,4.25,2.5,0.5
1142,7.137,1,7,10,1381.65625,12.21,2.5,5.75,1.25,0.6
1143,6.693,1,1,1,54.1875,1,8.5,2.5,2.5,0.4062
1144,11.977,1,9,9,429.581241,3.8656,2.25,4.5,4.5,0.3312
1145,6.986,1,4,5,750.5,6.275,2.5,5.75,5,0.2188
1146,6.253,1,2,2,78.125,1.8,6.25,2.5,2.5,0.9
1147,8.05,1,7,8,679.25,8.79,2.5,4.75,4.75,0.875
1148,6.786,1,3,4,620.75,3.79,9.5,4,4,3.4875
1149,10.563,1,4,10,602.75,2.555,5.25,3,3,1
1150,9.997,1,10,14,1058.160125,15.47,2.25,4.25,4.25,0.62
1151,14.62,1,2,2,142,2.54,3,11.5,4.25,1.84
1152,5.4,1,2,3,345.46875,5.32,3,11.5,4.25,1.84
1153,10.31,3,7,8,791.734375,6.4375,2,4.5,3.75,0.58
1154,17.553,1,1,2,936,0.95,2.25,4.25,4.25,0.62
1155,24.494,1,0,0,0,0,0.25,7.5,9.75,0.1875
1156,4.997,1,6,6,323.64875,4.7775,3,11.5,4.25,1.84
1157,10.45,1,7,10,1232.984375,4.76,3,11.5,4.25,1.84
1158,23.56,2,7,7,632.45,7.9751,2.5,3.5,3.5,0.3312
1159,7.39,1,5,7,450.747287,3.28,9.25,3,3,2.24
1160,12.493,1,13,15,1399.1875,14.3287,2.5,4,4,0.3312
1161,11.157,1,0,0,0,0,1,4.5,4.5,0.375
1162,8.3,1,11,21,1101.5,8.8275,0.5,9,12,0.625
1163,14.48,1,2,2,114.8125,1.7909,5.38,2,2,0.4375
1164,34.497,1,6,16,929.75,8.4181,9.5,7,1.5,0.52
1165,8.926,1,8,14,1289.90625,4.8312,0.5,5.5,6.5,0.75
1166,8.027,1,4,6,582.65625,5.2375,1,10.25,6,0.5
1167,32.077,4,7,14,1062.53125,11.4975,7,2.2,2.2,0.625
1168,7.437,1,5,6,738.6875,6.62,1,6.25,5.75,0.75
1169,10.413,1,12,14,1541.53125,13.2212,5.25,10.25,0.25,0.5
1170,9.93,1,15,16,1586.625243,19.065,1.65,4.29,4.29,0.25
1171,7.823,1,5,6,1087.276375,8.1725,2.75,4.75,2.5,1.04
1172,55.44,1,5,5,578.153448,5.9556,3.5,8.87,7.25,0.3125
1173,20.223,1,3,3,172.125,1.8125,1.5,6.25,5.25,0.4875
1174,17.143,1,3,3,255.4375,2.38,10.5,6.75,0.5,0.76
1175,48.13,1,11,16,1378.004375,11.0437,2.75,6,4,0.75
1176,29.12,1,2,2,250.421875,9.25,1,9,5,0.4375
1177,4.043,1,9,11,1725.99125,9.5287,9.25,3,3,2.24
1178,6.156,1,8,10,1321.375,6.06,8.5,2.5,2.5,0.4062
1179,8.403,1,2,2,101.25,2.2656,5.25,10.25,0.25,0.5
1180,5.333,1,4,4,301.6875,4.5,2.75,11.75,4,1.5
1181,7.11,1,1,1,40.640625,0.62,1.25,8.25,5.5,0.4
1182,10.45,2,9,15,700.421875,8.495,1.5,5.25,4.5,0.78
1183,26.847,2,8,9,960.765625,7.2,9.5,4,4,3.4875
1184,8.1,1,3,4,475.46875,5.665,5.25,6.25,1.25,0.84
1185,26.31,1,10,16,1073.234375,7.8775,3,11.5,4.25,1.84
1186,15.663,1,8,13,1144.125,7.2662,10.25,4.5,4.5,3
1187,21.104,1,15,15,1270.568677,22.24,2.75,11.75,4,1.5
1188,10.887,1,13,17,1148.125,11.7181,4.25,5.5,3,1.62
1189,5.723,1,2,2,123.546875,0.875,8.5,2.5,2.5,0.4062
1190,6.24,1,11,13,1135.2725,11.2175,2.75,5.25,2.5,1.04
1191,36.154,1,7,18,947.5,6.5062,1.78,2.92,2.91,0.34
1192,8.434,1,14,18,1602.34125,16.2944,2.5,5.75,5,0.2188
1193,7.22,1,2,4,188.25,1.125,3,11.75,4.25,1.125
1194,10.234,1,5,7,1077.1125,2.5933,1.5,5.25,4.5,0.78
1195,12.557,1,2,2,151,8.5,7.5,2.13,4.25,0.875
1196,10.054,2,3,6,886.03125,7.3875,1.5,4.25,2.5,0.5
1197,16.1,3,0,0,0,0,2.5,3.25,3.25,0.3312
1198,31.967,3,10,14,796.28125,9.6975,2.5,3.75,3.75,0.3312
1199,14.29,2,8,8,822.515625,9.9251,9.5,4,4.25,4
1200,11.003,1,7,7,837.6825,9.7025,6.5,6.5,0.85,0.6438
1201,7.956,1,5,10,1526.5,6.8812,2.75,11.75,4,1.5
1202,8.02,1,4,4,620.875,12.2025,1,5.5,5,0.75
1203,8.45,1,0,0,0,0,8.5,2.5,2.5,0.4062
1204,6.536,1,6,8,1009.234375,11.2625,2.2,5.75,1.2,0.5
1205,6.477,1,0,0,0,0,2.75,5,2.5,1.0125
1206,6.693,2,2,9,369.5,1.3312,1.5,4.25,2.5,0.5
1207,7.857,1,10,16,1438.453368,13.0875,5.25,10.25,0.25,0.5
1208,10.626,1,1,1,242.8125,0.3125,2.5,7,6,0.4375
1209,11.623,1,3,3,422.40625,7.325,7,3,3,1.375
1210,14.687,2,6,14,1089.03125,8.53,6,7,10,3.5
1211,14.636,1,5,9,509.59375,3.27,3,11.5,4.25,1.84
1212,9.974,1,3,3,439.0375,7.3438,1.5,6.5,6.5,0.5
1213,12.566,1,0,0,0,0,0.25,7.5,9.75,0.1875
1214,10.91,1,2,2,327.3125,1.6875,1.25,6.25,4.25,0.5625
1215,12.507,1,6,13,612.328125,5.3525,4,5,5,0.875
1216,7.434,1,15,15,1311.1875,22.5675,2.75,5,2.5,1.0125
1217,9.417,1,3,5,529.03125,5.53,6,10,10,3.1
1218,14.276,1,3,5,200.875916,0.8468,1,6.25,5.75,0.75
1219,16.99,1,8,9,581.78125,8.3931,1.78,2.92,2.91,0.34
1220,20.533,2,3,4,144.5,1.2249,1,9,5,0.4375
1221,15.754,4,5,6,462,3.0875,1.25,8.25,5.5,0.4
1222,9.84,1,1,1,35.9125,0.6438,0.9,7.6,6.4,0.625
1223,11.63,1,4,5,226.125,2.5375,3,11.5,4.25,1.84
1224,31.343,1,13,18,1503.565625,21.5261,2.5,7,6.25,0.25
1225,4.426,2,7,18,1609,13.94,1.75,6.75,3.75,0.375
1226,6.59,1,3,3,543.578125,3.4074,1.75,4.75,4.75,0.54
1227,21.43,1,5,9,612.25,4.0625,1.25,8.25,5.5,0.4
1228,13.03,1,1,1,39.0625,0.9,1,8,6,0.3125
1229,5.677,1,3,4,347.125,3.9,0.9,7.6,6.4,0.625
1230,26.37,1,1,1,12.65625,0.25,2.75,5.25,2.5,1.04
1231,33.21,6,4,4,954.75,7.96,2.26,3.74,3.74,0.3312
1232,4.38,1,4,5,292,3.05,3,11.5,4.25,1.84
1233,18.796,1,5,16,1203.84375,2.635,2.25,3,3,0.2656
1234,3.093,1,3,4,400.625,5.48,3.5,8.87,7.25,0.3125
1235,27.374,1,1,4,1018.368,6,4,5,5,0.875
1236,11.144,1,0,0,0,0,1.5,4.25,2.5,0.5
1237,10.657,1,6,6,775.03125,10.8375,9,6.75,0.5,0.54
1238,107.014,6,0,0,0,0,2.5,3.25,3.25,0.3312
1239,10.71,2,2,7,114.375,0.4437,9.25,3,3,2.24
1240,48.627,1,5,8,840.6328125,5.08,6.5,6.5,0.85,0.6438
1241,20.327,1,6,13,1001.1875,5.9409,3,5,5,0.625
1242,1.387,8,0,0,0,0,2.5,4,1.5,0.1875
1243,8.6,1,0,0,0,0,2.5,3.5,3.5,0.3312
1244,13.443,1,11,21,1142.671875,6.735,4,3,3,1
1245,4.496,1,4,4,355.065625,1.6275,2.75,11.75,4,1.5
1246,6.986,2,6,8,1284.905,15.49,5.5,2.75,2.75,1.2375
1247,7.684,1,11,14,1524.5,11.2949,2.75,5.25,2.5,1.04
1248,11.506,1,11,19,1586.89125,12.6475,2.5,3.25,3.25,0.3312
1249,6.837,2,9,9,996.645625,10.9625,3,11.5,4.25,1.84
1250,7.25,1,7,11,398.56875,4.5588,3,11.5,4.25,1.84
1251,9.364,2,8,14,1177.9375,4,6.25,2.5,2.5,0.9
1252,20.297,1,3,4,953.75,5.58,6,7,10,3.5
1253,27.72,1,5,6,832.734375,2.4325,10.75,5.25,4,4
1254,9.957,1,3,3,462.78125,4.7875,2.5,4,4,0.4
1255,6.753,1,3,6,192.99,4.03,3.5,8.87,7.25,0.3125
1256,12.05,2,9,10,1269.15,24.3363,4.75,5.56,3.75,1.5
1257,5.767,1,7,18,1461.484375,2.7425,3,4.25,4.25,1
1258,20.15,2,2,3,42.84375,1,1,1,1,1
1259,14.993,1,3,6,1514,2.5,1.5,8.5,6,0.2188
1260,7.766,1,1,1,23.4375,0.5938,1.72,5.88,3.25,0.5
1261,12.746,1,0,0,0,0,1,9,5,0.4375
1262,15.85,1,4,5,338.71875,4.3487,7,10.75,0.5,0.8
1263,13.767,1,0,0,0,0,3,11.5,4.25,1.84
1264,10.57,2,3,3,759.625,5.0312,2.5,4,4,0.4
1265,14.77,2,5,6,640.75,8.5,2.5,4,4,0.4
1266,16.473,1,0,0,0,0,1.25,9.69,7.56,0.9375
1267,11.513,2,2,8,1509,2.5,0.9,7.6,6.4,0.625
1268,8.353,2,12,17,1415,14.4662,6.25,2.5,2.5,0.9
1269,12.796,2,1,1,137.5,2.0625,3,11.5,4.25,1.84
1270,23.906,1,6,10,861.53125,9.3631,9.5,4,4,4
1271,10.92,1,6,7,510.2971177,7.0575,2.75,4.75,2.5,1.04
1272,3.64,1,17,25,1962.928125,17.1774,2.75,11.75,4,1.5
1273,7.506,1,8,9,1578.634475,21.36,6,7,10,3.5
1274,4.874,1,4,4,211.7626,2.8809,2.75,11.75,4,1.5
1275,7.97,2,3,8,638.125,2.2,2.5,3.75,3.75,0.375
1276,19.327,1,0,0,0,0,3,11.5,4.25,1.84
1277,8.976,1,0,0,0,0,1.72,5.88,3.25,0.5
1278,13.733,1,3,3,121.5,4,3,5,5,0.625
1279,7.834,2,0,0,0,0,2,5.9,5.9,0.6875
1280,7.62,1,5,5,388.96875,6.9375,1.75,6,6,0.6875
1281,16.653,1,16,22,2086.04875,18.7187,1.25,2.25,7,0.0156
